timestamp,treble_chorale,bruin_singers,bel_canto
2026-05-07T06:02:20Z,20097,7946,21035
2026-05-07T06:02:50Z,20097,7946,21045
2026-05-07T06:03:20Z,20111,7946,21050
2026-05-07T06:03:50Z,20135,7946,21064
2026-05-07T06:04:21Z,20141,7946,21074
2026-05-07T06:04:51Z,20156,7946,21080
2026-05-07T06:05:21Z,20185,7946,21092
2026-05-07T06:05:51Z,20201,7946,21097
2026-05-07T06:06:22Z,20217,7946,21104
2026-05-07T06:06:52Z,20244,7946,21118
2026-05-07T06:07:22Z,20255,7946,21121
2026-05-07T06:07:53Z,20257,7946,21121
2026-05-07T06:08:23Z,20271,7946,21121
2026-05-07T06:08:53Z,20285,7946,21121
2026-05-07T06:09:23Z,20301,7946,21128
2026-05-07T06:09:54Z,20329,7946,21140
2026-05-07T06:10:24Z,20329,7946,21145
2026-05-07T06:10:56Z,20341,7946,21153
2026-05-07T06:11:26Z,20358,7946,21167
2026-05-07T06:11:57Z,20372,7946,21168
2026-05-07T06:12:27Z,20399,7946,21176
2026-05-07T06:12:57Z,20415,7946,21187
2026-05-07T06:13:28Z,20429,7946,21191
2026-05-07T06:13:58Z,20455,7946,21191
2026-05-07T06:14:28Z,20459,7946,21191
2026-05-07T06:14:59Z,20469,7946,21191
2026-05-07T06:15:29Z,20498,7946,21201
2026-05-07T06:15:59Z,20512,7946,21211
2026-05-07T06:16:29Z,20524,7946,21211
2026-05-07T06:17:00Z,20548,7946,21221
2026-05-07T06:17:30Z,20567,7946,21230
2026-05-07T06:18:00Z,20576,7946,21230
2026-05-07T06:18:31Z,20582,7946,21230
2026-05-07T06:19:01Z,20598,7946,21237
2026-05-07T06:19:31Z,20611,7946,21250
2026-05-07T06:20:01Z,20640,7946,21252
2026-05-07T06:20:32Z,20654,7946,21252
2026-05-07T06:21:02Z,20670,7946,21254
2026-05-07T06:21:32Z,20684,7946,21267
2026-05-07T06:22:03Z,20705,7946,21274
2026-05-07T06:22:33Z,20707,7946,21278
2026-05-07T06:23:03Z,20722,7946,21291
2026-05-07T06:23:34Z,20738,7946,21298
2026-05-07T06:24:04Z,20757,7946,21298
2026-05-07T06:24:34Z,20778,7946,21298
2026-05-07T06:25:04Z,20804,7946,21304
2026-05-07T06:25:35Z,20822,7946,21317
2026-05-07T06:26:05Z,20830,7946,21322
2026-05-07T06:26:35Z,20847,7946,21322
2026-05-07T06:27:06Z,20864,7946,21329
2026-05-07T06:27:36Z,20893,7946,21340
2026-05-07T06:28:06Z,20910,7946,21345
2026-05-07T06:28:37Z,20923,7946,21351
2026-05-07T06:29:07Z,20940,7946,21363
2026-05-07T06:29:37Z,20953,7946,21368
2026-05-07T06:30:07Z,20966,7946,21368
2026-05-07T06:30:38Z,20980,7946,21368
2026-05-07T06:31:08Z,20992,7946,21368
2026-05-07T06:31:38Z,21009,7946,21368
2026-05-07T06:32:09Z,21036,7946,21368
2026-05-07T06:32:39Z,21046,7946,21368
2026-05-07T06:33:09Z,21049,7946,21375
2026-05-07T06:33:39Z,21059,7946,21389
2026-05-07T06:34:10Z,21062,7946,21389
2026-05-07T06:34:40Z,21077,7946,21401
2026-05-07T06:35:10Z,21105,7946,21410
2026-05-07T06:35:41Z,21119,7946,21413
2026-05-07T06:36:11Z,21145,7946,21426
2026-05-07T06:36:41Z,21157,7946,21431
2026-05-07T06:37:11Z,21172,7946,21431
2026-05-07T06:37:42Z,21186,7946,21431
2026-05-07T06:38:12Z,21203,7946,21431
2026-05-07T06:38:42Z,21226,7946,21431
2026-05-07T06:39:13Z,21242,7946,21440
2026-05-07T06:39:43Z,21259,7946,21454
2026-05-07T06:40:13Z,21271,7946,21455
2026-05-07T06:40:43Z,21280,7946,21467
2026-05-07T06:41:14Z,21295,7946,21481
2026-05-07T06:41:44Z,21295,7946,21481
2026-05-07T06:42:14Z,21319,7946,21493
2026-05-07T06:42:45Z,21337,7946,21505
2026-05-07T06:43:15Z,21352,7946,21505
2026-05-07T06:43:45Z,21378,7946,21505
2026-05-07T06:44:16Z,21394,7946,21505
2026-05-07T06:44:46Z,21417,7946,21505
2026-05-07T06:45:16Z,21424,7946,21518
2026-05-07T06:45:46Z,21439,7946,21525
2026-05-07T06:46:17Z,21463,7946,21525
2026-05-07T06:46:47Z,21481,7946,21538
2026-05-07T06:47:17Z,21489,7946,21546
2026-05-07T06:47:48Z,21512,7946,21549
2026-05-07T06:48:18Z,21520,7946,21561
2026-05-07T06:48:48Z,21536,7946,21566
2026-05-07T06:49:18Z,21551,7946,21566
2026-05-07T06:49:49Z,21580,7946,21566
2026-05-07T06:50:19Z,21591,7946,21566
2026-05-07T06:50:49Z,21602,7946,21570
2026-05-07T06:51:50Z,21641,7946,21585
2026-05-07T06:52:20Z,21643,7946,21589
2026-05-07T06:52:50Z,21654,7946,21601
2026-05-07T06:53:21Z,21664,7946,21605
2026-05-07T06:53:51Z,21668,7946,21611
2026-05-07T06:54:21Z,21682,7946,21625
2026-05-07T06:54:51Z,21710,7946,21627
2026-05-07T06:55:22Z,21738,7946,21627
2026-05-07T06:55:52Z,21738,7946,21627
2026-05-07T06:56:22Z,21751,7946,21627
2026-05-07T06:56:53Z,21767,7946,21636
2026-05-07T06:57:23Z,21771,7946,21649
2026-05-07T06:57:53Z,21786,7946,21651
2026-05-07T06:58:24Z,21811,7946,21658
2026-05-07T06:58:54Z,21824,7946,21670
2026-05-07T06:59:24Z,21854,7946,21674
2026-05-07T06:59:55Z,21869,7946,21683
2026-05-07T07:00:25Z,21894,7946,21695
2026-05-07T07:00:55Z,21915,7946,21698
2026-05-07T07:01:25Z,21930,7946,21698
2026-05-07T07:01:56Z,21946,7946,21698
2026-05-07T07:02:26Z,21959,7946,21698
2026-05-07T07:02:56Z,21975,7946,21710
2026-05-07T07:03:27Z,21989,7946,21722
2026-05-07T07:03:57Z,21989,7946,21722
2026-05-07T07:04:27Z,22004,7946,21722
2026-05-07T07:04:58Z,22033,7946,21725
2026-05-07T07:05:28Z,22050,7946,21737
2026-05-07T07:05:58Z,22063,7946,21751
2026-05-07T07:06:28Z,22092,7946,21763
2026-05-07T07:06:59Z,22104,7946,21768
2026-05-07T07:07:29Z,22109,7946,21768
2026-05-07T07:07:59Z,22139,7946,21768
2026-05-07T07:08:30Z,22152,7946,21772
2026-05-07T07:09:00Z,22169,7946,21784
2026-05-07T07:09:30Z,22194,7946,21792
2026-05-07T07:10:01Z,22208,7946,21792
2026-05-07T07:10:31Z,22235,7946,21792
2026-05-07T07:11:01Z,22251,7946,21792
2026-05-07T07:11:31Z,22265,7946,21792
2026-05-07T07:12:02Z,22283,7946,21801
2026-05-07T07:12:32Z,22301,7946,21814
2026-05-07T07:13:02Z,22327,7946,21818
2026-05-07T07:13:33Z,22342,7946,21826
2026-05-07T07:14:03Z,22359,7946,21839
2026-05-07T07:14:33Z,22368,7946,21841
2026-05-07T07:15:03Z,22389,7946,21853
2026-05-07T07:15:34Z,22400,7946,21863
2026-05-07T07:16:04Z,22403,7946,21864
2026-05-07T07:16:34Z,22419,7946,21864
2026-05-07T07:17:05Z,22446,7946,21864
2026-05-07T07:17:35Z,22460,7946,21868
2026-05-07T07:18:05Z,22476,7946,21879
2026-05-07T07:18:35Z,22504,7946,21879
2026-05-07T07:19:06Z,22505,7946,21889
2026-05-07T07:19:36Z,22514,7946,21889
2026-05-07T07:20:06Z,22531,7946,21900
2026-05-07T07:20:37Z,22534,7946,21910
2026-05-07T07:21:07Z,22547,7946,21913
2026-05-07T07:21:37Z,22558,7946,21925
2026-05-07T07:22:07Z,22576,7946,21935
2026-05-07T07:22:38Z,22593,7946,21935
2026-05-07T07:23:08Z,22608,7946,21935
2026-05-07T07:23:38Z,22633,7946,21935
2026-05-07T07:24:08Z,22635,7946,21937
2026-05-07T07:24:39Z,22651,7946,21939
2026-05-07T07:25:09Z,22666,7946,21942
2026-05-07T07:25:39Z,22696,7946,21947
2026-05-07T07:26:10Z,22709,7946,21962
2026-05-07T07:26:40Z,22724,7946,21972
2026-05-07T07:27:10Z,22727,7946,21979
2026-05-07T07:27:41Z,22748,7946,21996
2026-05-07T07:28:11Z,22771,7946,22011
2026-05-07T07:28:41Z,22787,7946,22014
2026-05-07T07:29:11Z,22787,7946,22027
2026-05-07T07:29:42Z,22808,7946,22032
2026-05-07T07:30:12Z,22830,7946,22032
2026-05-07T07:30:42Z,22845,7946,22032
2026-05-07T07:31:13Z,22866,7946,22032
2026-05-07T07:31:43Z,22866,7946,22033
2026-05-07T07:32:14Z,22883,7946,22045
2026-05-07T07:32:44Z,22911,7946,22059
2026-05-07T07:33:14Z,22925,7946,22064
2026-05-07T07:33:44Z,22952,7946,22075
2026-05-07T07:34:15Z,22952,7946,22087
2026-05-07T07:34:45Z,22972,7946,22096
2026-05-07T07:35:15Z,22975,7946,22101
2026-05-07T07:35:46Z,22992,7946,22112
2026-05-07T07:36:16Z,23006,7946,22123
2026-05-07T07:36:46Z,23006,7946,22130
2026-05-07T07:37:17Z,23018,7946,22130
2026-05-07T07:37:47Z,23018,7946,22134
2026-05-07T07:38:17Z,23046,7946,22139
2026-05-07T07:38:47Z,23060,7946,22145
2026-05-07T07:39:18Z,23069,7946,22149
2026-05-07T07:39:48Z,23076,7946,22155
2026-05-07T07:40:18Z,23091,7946,22161
2026-05-07T07:40:49Z,23107,7946,22168
2026-05-07T07:41:19Z,23136,7946,22174
2026-05-07T07:41:49Z,23150,7946,22177
2026-05-07T07:42:19Z,23165,7946,22182
2026-05-07T07:42:50Z,23177,7946,22188
2026-05-07T07:43:20Z,23177,7946,22193
2026-05-07T07:43:50Z,23201,7946,22200
2026-05-07T07:44:21Z,23203,7946,22208
2026-05-07T07:44:51Z,23227,7946,22214
2026-05-07T07:45:21Z,23245,7946,22221
